###########requete numero : 0
#############essai numero : 0,0
ligne 14 ; stop: "Gare de Lyon" ; heure : 11:23:0
ligne 14 ; stop: "Châtelet" ; heure : 11:26:0
ligne 14 ; stop: "Pyramides" ; heure : 11:28:0
ligne 14 ; stop: "Madeleine" ; heure : 11:30:0
ligne 14 ; stop: "Saint-Lazare" ; heure : 11:32:0
ligne 13 ; stop: "Saint-Lazare" ; heure : 11:35:0
ligne 13 ; stop: "Liège" ; heure : 11:37:0
ligne 13 ; stop: "Place de Clichy" ; heure : 11:38:0
ligne 13 ; stop: "La Fourche" ; heure : 11:39:0
ligne 13 ; stop: "Brochant" ; heure : 11:44:0
ligne 13 ; stop: "Porte de Clichy" ; heure : 11:45:0
ligne 13 ; stop: "Mairie de Clichy" ; heure : 11:47:0
ligne 13 ; stop: "Gabriel-Péri" ; heure : 11:50:0
ligne 13 ; stop: "Les Agnettes" ; heure : 11:52:0


#############essai numero : 2,1
ligne 13 ; stop: "Les Agnettes" ; heure : 2777:46:39


#############essai numero : 3,0
ligne 14 ; stop: "Bercy" ; heure : 11:20:0
ligne 6 ; stop: "Bercy" ; heure : 11:23:0
ligne 14 ; stop: "Bercy" ; heure : 11:27:0
ligne 14 ; stop: "Gare de Lyon" ; heure : 11:29:0
ligne 14 ; stop: "Châtelet" ; heure : 11:32:0
ligne 14 ; stop: "Pyramides" ; heure : 11:34:0
ligne 14 ; stop: "Madeleine" ; heure : 11:36:0
ligne 14 ; stop: "Saint-Lazare" ; heure : 11:38:0
ligne 13 ; stop: "Saint-Lazare" ; heure : 11:41:0
ligne 13 ; stop: "Liège" ; heure : 11:42:0
ligne 13 ; stop: "Place de Clichy" ; heure : 11:44:0
ligne 13 ; stop: "La Fourche" ; heure : 11:45:0
ligne 13 ; stop: "Brochant" ; heure : 11:50:0
ligne 13 ; stop: "Porte de Clichy" ; heure : 11:51:0
ligne 13 ; stop: "Mairie de Clichy" ; heure : 11:53:0
ligne 13 ; stop: "Gabriel-Péri" ; heure : 11:56:0
ligne 13 ; stop: "Les Agnettes" ; heure : 11:58:0


#############essai numero : 3,1
ligne 13 ; stop: "Les Agnettes" ; heure : 2777:46:39




###########requete numero : 3
#############essai numero : 0,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 0,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 1,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 1,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39




###########requete numero : 4
#############essai numero : 0,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 0,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 1,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 1,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 2,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 2,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 3,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 3,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 4,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 4,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 5,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 5,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 6,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 6,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 7,0
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39


#############essai numero : 7,1
ligne 14 ; stop: "Olympiades" ; heure : 2777:46:39




