correspondances de la ligne 13
2469,1715,2,480
1826,1827,2,370
1723,2469,2,149
1723,1724,2,141
3343762,2293,2,180
2363,2366,2,289
2025,2544,2,59
2364,1827,2,126
1166841,1724,2,180
3343762,1897,2,180
2405,2406,2,125
1724,2460,2,480
2468,1724,2,131
1824,1827,2,400
1825,1827,2,126
1820,1819,2,55
1795,1796,2,75
1825,2366,2,101
1795,2406,2,86
1166840,2469,2,180
2144,2544,2,72
1824,2366,2,343
1722,2469,2,108
2364,2366,2,113
1826,2366,2,241
2467,1724,2,118
2363,1827,2,311
2469,2460,2,480
2467,2469,2,108
1724,1715,2,480
1722,1724,2,108
1927,1928,2,160
3343761,1897,2,180
2252,1928,2,152
2252,2253,2,144
1927,2253,2,151
3343761,2293,2,180
1820,2358,2,62
2359,1819,2,51
2365,1827,2,235
2365,2366,2,264
2468,2469,2,139
2144,2083,2,106
2359,2358,2,56
1166840,1724,2,180
2025,2083,2,95
2405,1796,2,119
1166841,2469,2,180
