correspondances de la ligne 7
2208,1954,2,59
1675,1676,2,110
1966,2155,2,298
1953,1954,2,67
2486,1674,2,234
1953,2209,2,95
1860,2328,2,75
1908,2232,2,67
1648,1794,2,112
3343767,2314,2,180
2125,1954,2,55
1966,1965,2,250
3343768,1847,2,180
2221,1166834,2,360
2221,1166835,2,360
1908,1907,2,14
3343767,1847,2,180
2313,2314,2,119
2219,2221,2,262
1774,1773,2,54
1966,2036,2,264
1675,2486,2,104
2435,6129305,2,180
2435,6129304,2,180
1757,6129305,2,180
1757,6129304,2,180
2233,1907,2,76
2384,1773,2,89
2327,2328,2,60
2233,2232,2,78
2226,1972,2,119
2486,2484,2,245
2125,2209,2,15
2528,2404,2,102
1964,2221,2,248
1676,1674,2,236
2226,2227,2,86
2221,2220,2,123
1846,1847,2,95
2219,1966,2,271
2403,1648,2,129
1846,2314,2,125
2221,1965,2,250
2403,2528,2,118
1966,2220,2,126
2221,2036,2,255
2485,1676,2,127
3343768,2314,2,180
1966,1166835,2,360
1966,1166834,2,360
2485,2486,2,125
2528,1794,2,98
1971,1972,2,133
1964,1966,2,257
1971,2227,2,99
1793,2528,2,162
1793,1648,2,126
1676,2484,2,247
2076,2209,2,55
2384,2383,2,99
1860,1861,2,60
2313,1847,2,88
1648,2404,2,116
1774,2383,2,71
2208,2209,2,100
2076,1954,2,70
2221,2155,2,284
2327,1861,2,70
