correspondances de la ligne 2
1958,2235,2,420
1675,1674,2,111
1833,2371,2,72
2090,2046,2,120
1676,1674,2,236
2212,1910,2,420
2149,2148,2,89
2213,1910,2,420
2090,2096,2,120
2297,2296,2,225
2338,1651,2,138
1833,1832,2,72
2486,1674,2,234
2395,2394,2,87
1792,2401,2,108
1957,2235,2,420
2110,2547,2,91
2548,2115,2,132
2548,2066,2,98
1902,2296,2,143
2405,2406,2,125
2338,2531,2,122
2402,2401,2,122
1785,1784,2,100
2338,2371,2,89
2510,1629,2,72
1834,1833,2,90
1958,1910,2,420
2030,2029,2,73
2110,2086,2,91
2149,2029,2,81
2148,2147,2,52
1902,1900,2,143
1630,2509,2,72
2485,1674,2,116
2030,2148,2,59
1901,1900,2,235
2148,2028,2,60
1834,2338,2,90
1795,1796,2,75
2402,1791,2,129
2213,2235,2,420
1833,1651,2,176
2485,2484,2,127
1630,1629,2,72
2029,2147,2,64
1795,2406,2,86
1785,2394,2,94
1901,2296,2,231
2087,2115,2,139
2029,2028,2,62
2298,1900,2,133
2297,1900,2,229
2339,1833,2,90
1675,2484,2,120
2395,1784,2,93
2551,2096,2,120
2061,2547,2,104
2298,2296,2,133
1676,2484,2,247
1833,2531,2,149
2212,2235,2,420
2339,2338,2,90
2510,2509,2,72
2551,2046,2,120
1957,1910,2,420
1792,1791,2,114
2061,2086,2,104
2338,1832,2,74
2486,2484,2,245
2087,2066,2,95
2405,1796,2,119
